БАБУШКИНСКИЙ УЧАСТОК РИТУАЛЬНОГО ОБСЛУЖИВАНИЯ;ритуальные и обрядовые услуги;город Москва, Алтуфьевское шоссе, дом 102Б;37.5936659799644000;55.9066905483949000
БОГОРОДСКОЕ КЛАДБИЩЕ;ритуальные и обрядовые услуги;город Москва, Краснобогатырская улица, дом 79;37.7082070337362000;55.8037424441374000
КЛАДБИЩЕ;ритуальные и обрядовые услуги;город Москва, Олонецкий проезд, дом 4;37.6615849286457090;55.8731145987157590
Ореховское кладбище;ритуальные и обрядовые услуги;город Москва, Шипиловский проезд, дом 49/1;37.6997635146562620;55.6086054122153610
Борисовское кладбище;ритуальные и обрядовые услуги;город Москва, улица Борисовские Пруды, дом 8, корпус 1;37.7381916064524670;55.6350248911465570
Алексеевское кладбище КРО№ 4;ритуальные и обрядовые услуги;город Москва, проспект Мира, дом 132;37.6441637426641550;55.8185325826011720
Ритуал №1 Преображенское кладбище;ритуальные и обрядовые услуги;город Москва, Измайловский проезд, дом 28;37.7696290038015900;55.8008554790769650
МЕДВЕДКОВСКОЕ КЛАДБИЩЕ;ритуальные и обрядовые услуги;город Москва, Заповедная улица, дом 52А, строение 1;37.6378795133654000;55.8652984040638000
ОБЕЛИСК-СЕРВИС;ритуальные и обрядовые услуги;город Москва, Рябиновая улица, дом 24, строение 1;37.4089121025492000;55.6997625586672000
НОВОДЕВИЧЬЕ КЛАДБИЩЕ;ритуальные и обрядовые услуги;город Москва, Лужнецкий проезд, дом 2, строение 2;37.5559544378132910;55.7239503229267190
ВВЕДЕНСКОЕ КЛАДБИЩЕ;ритуальные и обрядовые услуги;город Москва, Наличная улица, дом 1, строение 1;37.7098592744877000;55.7678629698638000
Кладбище «Ивановское»;ритуальные и обрядовые услуги;город Москва, улица Сталеваров, дом 6;37.8392704950395000;55.7695287258306000
ВЕШНЯКОВСКОЕ КЛАДБИЩЕ;ритуальные и обрядовые услуги;город Москва, улица Юности, дом 17;37.7985138033024550;55.7236460961114300
