Парковка №9066 (участок 1);круглосуточно;65;Рублёвское шоссе., владение 79? участок 1;55.7382816934103;37.4340760558763
Парковка №9066 (участок 2);круглосуточно;60;Рублёвское шоссе, владение 79, участок 2;55.7390378802488;37.4324790462873
ТПУ Преображенская;круглосуточно;37;Большая Черкизовская улица, дом 2, корпус 3;55.794728592538;37.7152255417484
ТПУ платформа Люблино;круглосуточно;88;улица Полбина, дом 20, строение 4;55.6858381870993;37.7332695654386
Парковка № 9061;круглосуточно;81;Рублёвское шоссе, дом 127;55.7513288125039;37.4078526982817
Парковка № 9065;круглосуточно;92;Раменский бульвар, вблизи дома 17, корпуса 2 по Мичуринскому проспекту, участок 2;55.6951195430185;37.5075758994572
Парковка № 9078;круглосуточно;111;Кировоградская улица, дом 9, корпус 1;55.6257038764259;37.6109543949253
Парковка № 9079;круглосуточно;140;Кировоградская улица, дом 5;55.6304170129079;37.6131446211286
Парковка № 9204;круглосуточно;30;Рублевское шоссе, владение 48/1 (1-я часть);55.7536806773262;37.4052897114015
Парковка № 9205;круглосуточно;59;Мичуринский проспект, владение 25, корпус 1;55.6976936784996;37.5030991279055
Парковка № 9401;круглосуточно;51;Красностуденческий проезд, дом 5;55.8254981601441;37.5677351478571
Парковка № 9402;круглосуточно;25;Хорошевское шоссе, владение 50-52;55.7774961220796;37.5350210071726
Парковка № 9607;круглосуточно;42;"Плеханова улица
";55.739056538779;37.7704930061062
Парковка № 9703;круглосуточно;90;Цимлянская улица, владение 7;55.6684584825051;37.7671048603842
Парковка № 9704;круглосуточно;65;Капотня, 2-й квартал, владение 22;55.6382429550995;37.7977110159319
Парковка № 9001;круглосуточно;49;Трубная площадь,  дом 1;55.7669541742388;37.6227765785576
Парковка № 9002;круглосуточно;129;улица Охотный ряд, дом 2;55.7579684830424;37.6189795106727
Парковка № 9005;круглосуточно;98;улица Новый Арбат, владение 19-21(участок 1);55.752352525749;37.5870151067236
Парковка № 9006;круглосуточно;42;Театральная площадь, владение 1 (участок 2);55.7591048766691;37.6181211286954
Парковка № 9009;круглосуточно;345;улица Крымский вал, дом 10 (Музеон);55.7335953408616;37.6030248503323
Парковка № 9010;круглосуточно;36;Ветошный переулок, владение 6;55.7549847907391;37.6222353629573
Парковка № 9015;круглосуточно;102;Новый Арбат улица, владение 11-17(участок 2);55.752456026739;37.5932016171675
Парковка № 9023;круглосуточно;45;Енисейская улица, дом 19, корпус 1;55.8694458788312;37.6639966283127
Парковка № 9028;круглосуточно;206;Походный проезд, владение 2;55.8318119704711;37.4073408023778
Парковка № 9029;круглосуточно;105;Беговая улица, владение 22;55.7789410238643;37.5588330309184
Парковка № 9033;круглосуточно;78;Ленинградское шоссе, дом 16, строение 9;55.8213176913997;37.5003477562807
Парковка № 9034;круглосуточно;58;улица Палиха, дом 8, строение 2;55.7843666192766;37.5989384748185
Парковка № 9036;круглосуточно;299;улица Хамовнический Вал, дом 3, строение 1;55.719434903535;37.5677119268104
Парковка № 9041;круглосуточно;88;Симферопольский бульвар, дом 9, корпу9;55.6584604531014;37.6080071532334
Парковка № 9042;круглосуточно;35;Симферопольский бульвар, дом 13;55.6561072689188;37.6058621528118
ТПУ Проспект Мира;круглосуточно;37;Проспект Мира, дом 39А;55.7808291862741;37.6324409585847
ТПУ Тульская;круглосуточно;257;Большая Тульская улица, дом 10, строение 4;55.706762418841;37.6202678770023
Парковка № 9060;круглосуточно;120;Щелковское шоссе, дом 100 (участок 3);55.8126059269362;37.8309524721426
Парковка № 9062;круглосуточно;40;"проспект Вернадского, дом 105, корпус 3
";55.6640027741034;37.4845074260766
Парковка № 9070;круглосуточно;87;Сколковское шоссе, дом 31, строение 1;55.7050475456532;37.4026453240362
Парковка № 9071;круглосуточно;46;Добровольческая улица, дом 20, строение 2;55.7433472853555;37.6686446211717
Парковка № 9077;круглосуточно;174;улица Барклая, дом 8;55.741147787394;37.5020687028725
Парковка № 9080;круглосуточно;76;Триумфальная площадь, владение 1;55.769120246779;37.5945910606512
Парковка № 9227;круглосуточно;130;Ореховый бульвар, владение 14 ;55.6112349947636;37.7210981435123
ТПУ Крюково;круглосуточно;64;Платформа Крюково;55.9798727359394;37.174661969364
Парковка № 9024;круглосуточно;18;Егорьевский проезд, владение 3;55.6712363018797;37.7352916668427
Парковка № 9035;круглосуточно;156;Луганская улица, дом 12;55.6215722635865;37.6682013023137
ТПУ Ботанический сад;круглосуточно;60;1-я улица Леонова, дом 22;55.8433439223465;37.6366156031136
ТПУ Открытое шоссе;круглосуточно;103;Открытое шоссе, дом 14;55.8138167629306;37.7380716543674
ТПУ Черкизовская;круглосуточно;178;Большая Черкизовская улица, владение 125, строение 27;55.8016600156992;37.7437197562166
ТПУ платформа Переделкино;круглосуточно;85;1-я Чоботовская аллея, дом 32;55.6552846890035;37.3486051084694
ТПУ платформа Чертаново;круглосуточно;160;Промышленная улица, дом 11А, строение 20;55.6329019243828;37.6279123322678
ТПУ Борисово;круглосуточно;74;улица Борисовские Пруды, дом 14, корпус 4;55.6328026210314;37.7438151642035
ТПУ платформа Чухлинка;круглосуточно;95;улица Коновалова, владение 9Б, строение 1;55.7326548059694;37.763351620968
ТПУ метро Братиславская;круглосуточно;51;улица Перерва, дом 43, корпус 1;55.6609376863181;37.7524418058203
ТПУ метро Волжская;круглосуточно;35;Волжский бульвар, дом 54, строение 7;55.6902295514307;37.7560849397753
ТПУ Нагорная;круглосуточно;52;Электролитный проезд, дом 7А;55.673071733148;37.6103169698123
Парковка № 9054;круглосуточно;120;Вблизи платформы Внуково;55.6486296867826;37.2683069237422
ТПУ Севастопольская;круглосуточно;110;Азовская улица 24, корпус 2, вблизи станции метро Севастопольская;55.652033600779;37.5973882764589
ТПУ Толстопальцево участок 1;круглосуточно;32;Советская улица, дом 2, строение 1;55.6068812093668;37.1862618278993
ТПУ метро 1905 года;круглосуточно;74;Улица 1905 года, дом 4;55.7647252076074;37.5615031663112
Парковка № 9064;круглосуточно;138;улица Академика Опарина, дом 4;55.6444647847662;37.5034315197461
Парковка № 9072;круглосуточно;40;напротив дома 19 по Ивантеевской улице ;55.8149365645552;37.7331925297415
Парковка № 9073;круглосуточно;72;напротив дома 17 корпус 1 по Ивантеевской улице;55.8144193674009;37.7343931160699
Парковка № 9074;круглосуточно;134;"напротив д.152 корп.1 и 154 по Профсоюзной ул. 
";55.6220331769709;37.5074402896284
Парковка № 9075;круглосуточно;38;Профсоюзная улица, дом 154;55.6208585700616;37.5062422144522
Парковка № 9076;круглосуточно;343;улица Гарибальди, владение 30;55.6708258455999;37.5529462350225
Парковка № 9523;круглосуточно;90;Большая Черкизовская улица, дом 125, строение 28;55.5991625632318;37.1698593812805
ТПУ Кокошкино;круглосуточно;90;платформа Кокошкино;55.5991625632318;37.1698593812805
ТПУ Толстопальцево участок 2;круглосуточно;30;платформа Толстопальцево;55.6075431640154;37.1872116765485
ТПУ Солнечная;круглосуточно;44;платформа Солнечная;55.6567449838886;37.3849312387634
Парковка № 9021;круглосуточно;90;проспект Академика Сахарова, владение 9 -11;55.7741633909618;37.6484168149959
Парковка № 9022;круглосуточно;33;улица Большая Полянка, дом 1/3;55.7424584741256;37.6163357076724
Парковка № 9026;круглосуточно;37;улица Коровий Вал, дом 9А;55.7293335215987;37.6157892820559
Парковка № 9032;круглосуточно;33;"улица Маши Порываевой, владение 7 
";55.7731842468166;37.6465590824479
Парковка № 9501;круглосуточно;160;ВВЦ, улица Сергея Эйзенштейна, напротив владение 8;55.8326679370398;37.6384801685252
Парковка № 9004;круглосуточно;28;Болотная ул., владение 10-18;55.7458654666218;37.6222186327126
Парковка № 9019;круглосуточно;41;Новозаводская улица, владение 18, корпус 1;55.7531347472095;37.4929022111623
Парковка № 9030;круглосуточно;190;улица Дурова, владение 3;55.7802053144181;37.6215842680157
Парковка № 9031;круглосуточно;89;"улица Тушинская, владение 17
";55.8270305705229;37.4434572734064
Парковка № 9043;круглосуточно;125;Щелковское шоссе, дом 100 (участок 1);55.8097850734938;37.8300194633898
Парковка № 9044;круглосуточно;102;Щелковское шоссе, дом 100 (участок 2);55.8114131112478;37.8298776370469
ТПУ Кожуховская;круглосуточно;62;улица Южнопортовая, владение 3;55.7081592813777;37.6851316798811
Парковка № 9604;круглосуточно;85;улица Сокольнический Вал, дом 50, корпус 2;55.7917475733232;37.6748918354862
ТПУ Кожуховская 1;круглосуточно;180;улица Трофимова, владение 36;55.7049619235086;37.6882169673814
Парковка № 9063;круглосуточно;43;город Москва, улица Рогожский Вал, дом 2/50;55.7456345;37.6785635
Парковка № 9066 (участок 1);круглосуточно;65;город Москва, Рублёвское шоссе, дом 79, строение 1;55.738313;37.434019
Парковка № 9066 (участок 2);круглосуточно;60;город Москва, Рублёвское шоссе, дом 79, корпус 2;55.739063;37.432421
Парковка № 9069;круглосуточно;352;город Москва, улица Юности, дом 9;55.7269726;37.8048751
ТПУ платформа Толстопальцево;круглосуточно;32;город Москва, деревня Толстопальцево, Советская улица, дом 2, строение 1;55.606899;37.186264
ТПУ платформа Толстопальцево 2;круглосуточно;30;город Москва, деревня Толстопальцево, Советская улица, дом 2, строение 1;55.6075509;37.1875566
Парковка № 9068;круглосуточно;66;город Москва, Профсоюзная улица, дом 86, строение 1;55.652003;37.534358
Парковка № 9097;круглосуточно;55;город Москва, Химкинский бульвар, владение 16;55.851141;37.440474
Парковка № 9093;круглосуточно;117;город Москва, улица Верхние Поля, владение 39А, строение 1;55.668072;37.768542
Парковка № 9094;круглосуточно;94;город Москва, Волоколамский проезд, дом 3, корпус 1;55.826359;37.432391
Парковка № 9084;круглосуточно;43;город Москва, Дмитровское шоссе, дом 25, строение 4;55.825940;37.571896
Парковка № 9088;круглосуточно;41;город Москва, улица Поликарпова, дом 23Б, корпус 1;55.780307;37.545311
Парковка № 9090;круглосуточно;172;город Москва, улица Яблочкова, дом 19А;55.818658;37.579422
Парковка № 9083;круглосуточно;80;город Москва, Днепропетровская улица, дом 2А;55.622538;37.607388
Парковка № 9086;круглосуточно;80;город Москва, Новочеркасский бульвар, дом 43А;55.647646;37.738899
Парковка № 9087;круглосуточно;110;город Москва, Хорошёвское шоссе, дом 9;55.610342;37.617273
Парковка № 9092;круглосуточно;102;город Москва, улица Подольских Курсантов, дом 5;55.610342;37.617273
Парковка № 9067;круглосуточно;165;город Москва, Ореховый бульвар, владение 24;55.612552;37.744244
